season,supply,supply_formatted,calculated_value,cumulative_sum
2876,11258364227302,11258364.227302,4690985094.709170,1503321602319.373291
2877,11258365227302,11258365.227302,4690985511.375837,1508012587830.749023
2878,11258366227302,11258366.227302,4690985928.042503,1512703573758.791504
2879,11258367227302,11258367.227302,4690986344.709170,1517394560103.500732
2880,11258368227302,11258368.227302,4690986761.375837,1522085546864.876465
2881,11258369227302,11258369.227302,4690987178.042503,1526776534042.918945
2882,11258370227302,11258370.227302,4690987594.709170,1531467521637.628174
2883,11258371227302,11258371.227302,4690988011.375837,1536158509649.003906
2884,11258372227302,11258372.227302,4690988428.042504,1540849498077.046387
2885,11258373227302,11258373.227302,4690988844.709170,1545540486921.755615
2886,11258374227302,11258374.227302,4690989261.375837,1550231476183.131348
2887,11258375227302,11258375.227302,4690989678.042503,1554922465861.173828
2888,11258376227302,11258376.227302,4690990094.709170,1559613455955.883057
2889,11258377227302,11258377.227302,4690990511.375837,1564304446467.258789
2890,11258378227302,11258378.227302,4690990928.042504,1568995437395.301270
2891,11258379227302,11258379.227302,4690991344.709170,1573686428740.010498
2892,11258380227302,11258380.227302,4690991761.375837,1578377420501.386230
2893,11258381227302,11258381.227302,4690992178.042503,1583068412679.428711
2894,11258382227302,11258382.227302,4690992594.709170,1587759405274.137939
2895,11258383227302,11258383.227302,4690993011.375837,1592450398285.513672
2896,11258384227302,11258384.227302,4690993428.042504,1597141391713.556152
2897,11258385227302,11258385.227302,4690993844.709170,1601832385558.265381
2898,11258386227302,11258386.227302,4690994261.375836,1606523379819.641113
2899,11258387227302,11258387.227302,4690994678.042503,1611214374497.683594
2900,11258388227302,11258388.227302,4690995094.709170,1615905369592.392822
2901,11258389227302,11258389.227302,4690995511.375837,1620596365103.768555
2902,11258390227302,11258390.227302,4690995928.042503,1625287361031.811035
2903,11258391227302,11258391.227302,4690996344.709170,1629978357376.520264
2904,11258392227302,11258392.227302,4690996761.375837,1634669354137.895996
2905,11258393227302,11258393.227302,4690997178.042504,1639360351315.938477
2906,11258394227302,11258394.227302,4690997594.709170,1644051348910.647705
2907,11258395227302,11258395.227302,4690998011.375837,1648742346922.023438
2908,11258396227302,11258396.227302,4690998428.042503,1653433345350.065918
2909,11258397227302,11258397.227302,4690998844.709170,1658124344194.775146
2910,11258398227302,11258398.227302,4690999261.375837,1662815343456.150879
2911,11258399227302,11258399.227302,4690999678.042504,1667506343134.193359
2912,11258400227302,11258400.227302,4691000094.709170,1672197343228.902588
2913,11258401227302,11258401.227302,4691000511.375837,1676888343740.278320
2914,11258402227302,11258402.227302,4691000928.042503,1681579344668.320801
2915,11258403227302,11258403.227302,4691001344.709170,1686270346013.030029
2916,11258404227302,11258404.227302,4691001761.375837,1690961347774.405762
2917,11258405227302,11258405.227302,4691002178.042504,1695652349952.448242
2918,11258406227302,11258406.227302,4691002594.709170,1700343352547.157471
2919,11258407227302,11258407.227302,4691003011.375836,1705034355558.533203
2920,11258408227302,11258408.227302,4691003428.042503,1709725358986.575684
2921,11258409227302,11258409.227302,4691003844.709170,1714416362831.284912
2922,11258410227302,11258410.227302,4691004261.375837,1719107367092.660645
2923,11258411227302,11258411.227302,4691004678.042503,1723798371770.703125
2924,11258412227302,11258412.227302,4691005094.709170,1728489376865.412354
2925,11258413227302,11258413.227302,4691005511.375837,1733180382376.788086
2926,11258414227302,11258414.227302,4691005928.042504,1737871388304.830566
2927,11258415227302,11258415.227302,4691006344.709170,1742562394649.539795
2928,11258416227302,11258416.227302,4691006761.375837,1747253401410.915527
2929,11258417227302,11258417.227302,4691007178.042503,1751944408588.958008
2930,11258418227302,11258418.227302,4691007594.709170,1756635416183.667236
2931,11258419227302,11258419.227302,4691008011.375837,1761326424195.042969
2932,11258420227302,11258420.227302,4691008428.042504,1766017432623.085449
2933,11258421227302,11258421.227302,4691008844.709170,1770708441467.794678
2934,11258422227302,11258422.227302,4691009261.375837,1775399450729.170410
2935,11258423227302,11258423.227302,4691009678.042503,1780090460407.212891
2936,11258424227302,11258424.227302,4691010094.709170,1784781470501.922119
2937,11258425227302,11258425.227302,4691010511.375837,1789472481013.297852
2938,11258426227302,11258426.227302,4691010928.042504,1794163491941.340332
2939,11258427227302,11258427.227302,4691011344.709170,1798854503286.049561
2940,11258428227302,11258428.227302,4691011761.375837,1803545515047.425293
2941,11258429227302,11258429.227302,4691012178.042503,1808236527225.467773
2942,11258430227302,11258430.227302,4691012594.709170,1812927539820.177002
2943,11258431227302,11258431.227302,4691013011.375837,1817618552831.552734
2944,11258432227302,11258432.227302,4691013428.042503,1822309566259.595215
2945,11258433227302,11258433.227302,4691013844.709170,1827000580104.304443
2946,11258434227302,11258434.227302,4691014261.375837,1831691594365.680176
2947,11258435227302,11258435.227302,4691014678.042504,1836382609043.722656
2948,11258436227302,11258436.227302,4691015094.709170,1841073624138.431885
2949,11258437227302,11258437.227302,4691015511.375837,1845764639649.807617
2950,11258438227302,11258438.227302,4691015928.042503,1850455655577.850098
2951,11258439227302,11258439.227302,4691016344.709170,1855146671922.559326
2952,11258440227302,11258440.227302,4691016761.375837,1859837688683.935059
2953,11258441227302,11258441.227302,4691017178.042504,1864528705861.977539
2954,11258442227302,11258442.227302,4691017594.709170,1869219723456.686768
2955,11258443227302,11258443.227302,4691018011.375837,1873910741468.062500
2956,11258444227302,11258444.227302,4691018428.042503,1878601759896.104980
2957,11258445227302,11258445.227302,4691018844.709170,1883292778740.814209
2958,11258446227302,11258446.227302,4691019261.375837,1887983798002.189941
2959,11258447227302,11258447.227302,4691019678.042504,1892674817680.232422
2960,11258448227302,11258448.227302,4691020094.709170,1897365837774.941650
2961,11258449227302,11258449.227302,4691020511.375837,1902056858286.317383
2962,11258450227302,11258450.227302,4691020928.042503,1906747879214.359863
2963,11258451227302,11258451.227302,4691021344.709170,1911438900559.069092
2964,11258452227302,11258452.227302,4691021761.375837,1916129922320.444824
2965,11258453227302,11258453.227302,4691022178.042503,1920820944498.487305
2966,11258454227302,11258454.227302,4691022594.709170,1925511967093.196533
2967,11258455227302,11258455.227302,4691023011.375837,1930202990104.572266
2968,11258456227302,11258456.227302,4691023428.042503,1934894013532.614746
2969,11258457227302,11258457.227302,4691023844.709170,1939585037377.323975
2970,11258458227302,11258458.227302,4691024261.375837,1944276061638.699707
2971,11258459227302,11258459.227302,4691024678.042503,1948967086316.742188
2972,11258460227302,11258460.227302,4691025094.709170,1953658111411.451416
2973,11258461227302,11258461.227302,4691025511.375837,1958349136922.827148
2974,11258462227302,11258462.227302,4691025928.042504,1963040162850.869629
2975,11258463227302,11258463.227302,4691026344.709170,1967731189195.578857
2976,11258464227302,11258464.227302,4691026761.375837,1972422215956.954590
2977,11258465227302,11258465.227302,4691027178.042503,1977113243134.997070
2978,11258466227302,11258466.227302,4691027594.709170,1981804270729.706299
2979,11258467227302,11258467.227302,4691028011.375837,1986495298741.082031
2980,11258468227302,11258468.227302,4691028428.042504,1991186327169.124512
2981,11258469227302,11258469.227302,4691028844.709170,1995877356013.833740
2982,11258470227302,11258470.227302,4691029261.375837,2000568385275.209473
